question,option_a,option_b,option_c,option_d,option_e,correct_answer
"УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ, УСТАНОВИВШЕЕ ПРЕДВАРИТЕЛЬНЫЙ ДИАГНОЗ – ХРОНИЧЕСКОЕ ПРОФЕССИОНАЛЬНОЕ ЗАБОЛЕВАНИЕ (ОТРАВЛЕНИЕ), В КАКОЙ СРОК ОБЯЗАНО НАПРАВИТЬ БОЛЬНОГО НА АМБУЛАТОРНОЕ ИЛИ СТАЦИОНАРНОЕ ОБСЛЕДОВАНИЕ В СПЕЦИАЛИЗИРОВАННОЕ ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКОЕ УЧРЕЖДЕНИЕ ИЛИ ЕГО ПОДРАЗДЕЛЕНИЕ",в течение месяца,в течение 7 дней,в течение 14 дней,в течение 15 дней,в течение 10 дней,в течение месяца
"ЗАКЛЮЧЕНИЕ ВОЕННО-ВРАЧЕБНОЙ КОМИССИИ О КАТЕГОРИИ ГОДНОСТИ К ВОЕННОЙ СЛУЖБЕ, ЗА ИСКЛЮЧЕНИЕМ ЗАКЛЮЧЕНИЙ О ПРИЧИННОЙ СВЯЗИ УВЕЧИЙ, ЗАБОЛЕВАНИЙ ДЕЙСТВИТЕЛЬНО В ТЕЧЕНИИ",1 года с даты медицинского освидетельствования,5 лет с даты медицинского освидетельствования,3 года с даты медицинского освидетельствования,2 года с даты медицинского освидетельствования,не имеет срока давности,1 года с даты медицинского освидетельствования
ОРГАНИЗАЦИЯ И ПРОВЕДЕНИЕ МЕДИЦИНСКОГО ОСВИДЕТЕЛЬСТВОВАНИЯ ВОЕННОСЛУЖАЩИХ ВОЗЛАГАЮТСЯ НА,территориальные органы управления здравоохранением и учреждения государственной и муниципальной систем,здравоохранения,районные военные комиссариаты,военные комиссариаты субъектов РФ,все перечисленное,военно-врачебную комиссию
ПОРЯДОК ПРОИЗВОДСТВА СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ ОПРЕДЕЛЕН,Приказом Министерства здравоохранения РФ,Федеральным законом «Об основах охраны здоровья граждан в РФ»,Приказом Федерального Фонда Обязательного Медицинского Страхования РФ,Приказом Фонда Социального страхования РФ,Постановлением Правительства РФ,Приказом Министерства здравоохранения РФ
ПОРЯДОК ПРОИЗВОДСТВА СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ ПРИМЕНИТЕЛЬНО К ЕЕ ОБЪЕКТАМ ОПРЕДЕЛЕН,Приказом Федерального Фонда Обязательного Медицинского Страхования РФ,Постановлением Правительства РФ,Законом РФ «О психиатрической помощи и гарантиях прав граждан при ее оказании»,Приказом Фонда Социального страхования РФ,Приказом Министерства здравоохранения РФ,Приказом Министерства здравоохранения РФ
СРОКИ ПРОИЗВОДСТВА СУДЕБНОЙ ЭКСПЕРТИЗЫ СОСТАВЛЯЮТ,не более пятнадцати дней,не более тридцати дней,не более десяти дней,не более сорока дней,не менее трех дней,не более тридцати дней
СРОК ПРОВЕДЕНИЯ ПЛАНОВЫХ И ЦЕЛЕВЫХ ПРОВЕРОК В РАМКАХ ВНУТРЕННЕГО КОНТРОЛЯ НЕ ДОЛЖЕН ПРЕВЫШАТЬ,30 дней,7 дней,3 дней,10 дней,20 дней,10 дней
"ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ОСУЩЕСТВЛЯЕТ СВОЮ ДЕЯТЕЛЬНОСТЬ","через законных представителей","непосредственно и через свои территориальные органы во взаимодействии с другими федеральными органами исполнительной власти, органами исполнительной власти субъектов РФ, органами местного самоуправления, общественными объединениями и иными организациями","непосредственно","через юридические лица","через свои территориальные органы","непосредственно и через свои территориальные органы во взаимодействии с другими федеральными органами исполнительной власти, органами исполнительной власти субъектов РФ, органами местного самоуправления, общественными объединениями и иными организациями"
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА (РОСПОТРЕБНАДЗОР) ЯВЛЯЕТСЯ,"уполномоченным федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере обеспечения санитарно-эпидемиологического благополучия населения, защиты прав потребителей и потребительского рынка","уполномоченным государственным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере обеспечения санитарно-эпидемиологического благополучия населения, защиты прав потребителей и потребительского рынка",нет правильного ответа,"уполномоченным федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере обеспечения санитарно-эпидемиологического благополучия населения","уполномоченным территориальным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере обеспечения санитарно-эпидемиологического благополучия населения и защиты прав потребителей","уполномоченным федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере обеспечения санитарно-эпидемиологического благополучия населения, защиты прав потребителей и потребительского рынка"
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА НАХОДИТСЯ В ВЕДЕНИИ,Правительства РФ,Федерального агентства по здравоохранению и социальному развитию,Федерального медико-биологического агентства,Министерства здравоохранения РФ,нет правильного ответа,Правительства РФ
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА В СВОЕЙ ДЕЯТЕЛЬНОСТИ РУКОВОДСТВУЕТСЯ,Конституцией Российской Федерации,Федеральными законами,все перечисленное верно,Актами Президента РФ и Правительства РФ,Федеральными конституционными законами,все перечисленное верно
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ЯВЛЯЕТСЯ ЮРИДИЧЕСКИМ ЛИЦОМ И ИМЕЕТ,"иные печати, штампы и бланки установленного образца","счета, открываемые в соответствии с законодательством РФ",печать с изображением Государственного герба РФ и со своим наименованием,"эмблему, флаг и вымпел, утверждаемые в установленном порядке",верно все перечисленное,верно все перечисленное
ВЕДОМСТВЕННЫЙ КОНТРОЛЬ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВАНИИ,распоряжения правительства субъекта РФ,всего перечисленного,приказа медицинской организации,постановления правительства субъекта РФ,приказа органа исполнительной власти,приказа органа исполнительной власти
ЭКСПЕРТИЗА КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ПРОВОДИТСЯ В РАМКАХ,государственного контроля,всех видов контроля,внутреннего контроля качества,федерального контроля,ведомственного контроля качества,ведомственного контроля качества
СРОКИ РАССМОТРЕНИЯ ДЕЛА ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ ОРГАНОМ РОСПОТРЕБНАДЗОРА,60 дней,3 дня,15 дней,30 дней,45 дней,15 дней
К ФОРМАМ КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ НЕ ОТНОСЯТ,все ответы правильные,ведомственный контроль,вневедомственный контроль,государственный контроль,внутренний контроль,вневедомственный контроль
ПОРЯДОК ЛИЦЕНЗИРОВАНИЯ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ УСТАНАВЛИВАЕТСЯ,уполномоченной профессиональной медицинской ассоциацией,Правительством РФ,Росздравнадзором,Роспотребнадзором,Федеральным органом исполнительной власти в сфере здравоохранения,Правительством РФ
СРОК ПРОВЕДЕНИЯ ДОКУМЕНТАРНОЙ ПРОВЕРКИ НЕ МОЖЕТ ПРЕВЫШАТЬ,15 рабочих дней,20 рабочих дней,10 рабочих дней,3 рабочих дня,25 рабочих дней,10 рабочих дней
НЕЗАВИСИМАЯ ОЦЕНКА КАЧЕСТВА УСЛОВИЙ ОКАЗАНИЯ УСЛУГ МЕДИЦИНСКИМИ ОРГАНИЗАЦИЯМИ ПРОВОДИТСЯ,общественными Советами по независимой оценке качества не чаще чем один раз в два года и не реже чем один раз в три года в отношении одной и той же медицинской организации,общественными Советами по независимой оценке качества не чаще чем один раз в год и не реже чем один раз в пять лет в отношении одной и той же медицинской организации,общественными Советами по независимой оценке качества не чаще чем один раз в полгода и не реже чем один раз в два года в отношении одной и той же медицинской организации,надзорными органами не чаще чем один раз в год и не реже чем один раз в три года в отношении одной и той же медицинской организации,общественными Советами по независимой оценке качества не чаще чем один раз в год и не реже чем один раз в три года в отношении одной и той же медицинской организации,общественными Советами по независимой оценке качества не чаще чем один раз в год и не реже чем один раз в три года в отношении одной и той же медицинской организации
СРОК ПРОВЕДЕНИЯ МУЛЬТИДИСЦИПЛИНАРНОЙ ЭКСПЕРТИЗЫ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ СОСТАВЛЯЕТ,"не более сорока рабочих дней с рабочего дня, следующего за днем получения экспертами поручения о проведении экспертизы качества медицинской помощи","не более недели, с рабочего дня, следующего за днем получения экспертами поручения о проведении экспертизы качества медицинской помощи","в течение трех месяцев, с момента проведения экспертизы качества медицинской помощи","не более 10 рабочих дней с рабочего дня, следующего за днем получения экспертами поручения о проведении экспертизы качества медицинской помощи","в течение месяца, с момента проведения экспертизы качества медицинской помощи","не более сорока рабочих дней с рабочего дня, следующего за днем получения экспертами поручения о проведении экспертизы качества медицинской помощи"
СРОКИ ПОСТАНОВКИ КЛИНИЧЕСКОГО ДИАГНОЗА ПРИ ОБРАЩЕНИИ В АМБУЛАТОРНОЕ УЧРЕЖДЕНИЕ,в течение недели,в течение 10 дней,в течение 3 дней,в течение 5 дней,в течение месяца,в течение 10 дней
"СВЕДЕНИЯ О РАБОТНИКАХ, ПРОШЕДШИХ ПРЕДВАРИТЕЛЬНЫЙ ОСМОТР, У КОТОРЫХ ВЫЯВЛЕНЫ МЕДИЦИНСКИЕ ПРОТИВОПОКАЗАНИЯ, НАПРАВЛЯЮТСЯ РАБОТОДАТЕЛЮ, ВЫДАВШЕМУ НАПРАВЛЕНИЕ",в двухнедельный срок,в десятидневный срок,в недельный срок,в пятидневный срок,в однодневный срок,в недельный срок
РАБОТОДАТЕЛЬ ПОСЛЕ ЗАВЕРШЕНИЯ РАССЛЕДОВАНИЯ ОБЯЗАН НА ОСНОВАНИИ АКТА О СЛУЧАЕ ПРОФЕССИОНАЛЬНОГО ЗАБОЛЕВАНИЯ ИЗДАТЬ ПРИКАЗ О КОНКРЕТНЫХ МЕРАХ ПО ПРЕДУПРЕЖДЕНИЮ ПРОФЕССИОНАЛЬНЫХ ЗАБОЛЕВАНИЙ В СРОК,10 дней,1 месяца,15 дней,14 дней,7 дней,1 месяца
ВРАЧЕБНАЯ КОМИССИЯ ВЫНОСИТ РЕШЕНИЕ И ОФОРМЛЯЕТ МЕДИЦИНСКОЕ ЗАКЛЮЧЕНИЕ ПО РЕЗУЛЬТАТАМ ПЕРИОДИЧЕСКОГО ОСМОТРА В ТЕЧЕНИЕ,10 календарных дней со дня его окончания,5 календарных дней со дня его окончания,15 календарных дней со дня его окончания,30 календарных дней со дня его окончания,20 календарных дней со дня его окончания,15 календарных дней со дня его окончания
ЭКСПЕРТИЗА СВЯЗИ ОСТРОГО ПРОФЕССИОНАЛЬНОГО ЗАБОЛЕВАНИЯ (ОТРАВЛЕНИЯ) С ПРОФЕССИЕЙ ПРОВОДИТСЯ В ТЕЧЕНИЕ,две недели,30 рабочих дне,10 рабочих дней,15 рабочих дней,7 рабочих дней с момента представления в центр профессиональной патологии,10 рабочих дней
К ОРГАНАМ ОСУЩЕСТВЛЯЮЩИМ МЕДИКО-СОЦИАЛЬНУЮ ЭКСПЕРТИЗУ ОТНОСЯТСЯ,медицинская комиссия лечебного учреждения,бюро медико-социальных экспертиз учрежденные региональными исполнительными органами власти,бюро судебно-медицинской экспертизы,федеральное бюро медико-социальной экспертизы,независимое бюро медико-социальной экспертизы,федеральное бюро медико-социальной экспертизы
"МЕДИЦИНСКИЕ ОРГАНИЗАЦИИ ОБЯЗАНЫ СООБЩАТЬ ПО ЗАПРОСАМ ВОЕННЫХ КОМИССАРИАТОВ СВЕДЕНИЯ, О ГРАЖДАНАХ, СОСТОЯЩИХ НА УЧЕТЕ ПО ПОВОДУ ПСИХИЧЕСКИХ РАССТРОЙСТВ НЕ ПОЗДНЕЕ","не обязаны сообщать такие сведения так, как это является врачебной тайной",3-х недель,могут предоставлять только с письменного согласия гражданина,1 месяца,2-х недель,2-х недель
"ВОЕННОСЛУЖАЩЕМУ, ПРОХОДЯЩЕМУ ВОЕННУЮ СЛУЖБУ ПО КОНТРАКТУ ОТПУСК ПО БОЛЕЗНИ МОЖЕТ БЫТЬ ПРОДЛЕН НЕ БОЛЕЕ ЧЕМ НА",30 суток,10 суток,15 суток,20 суток,60 суток,60 суток
"МЕДИЦИНСКИЕ ОРГАНИЗАЦИИ ОБЯЗАНЫ СООБЩАТЬ ПО ЗАПРОСАМ ВОЕННЫХ КОМИССАРИАТОВ СВЕДЕНИЯ, О ГРАЖДАНАХ, СОСТОЯЩИХ НА УЧЕТЕ ПО ПОВОДУ ИНФИЦИРОВАНИЯ ВИРУСОМ ИММУНОДЕФИЦИТА НЕ ПОЗДНЕЕ",2-х недель,3-х недель,"не обязаны сообщать такие сведения так, как это является врачебной тайной",могут предоставлять только с письменного согласия гражданина,1 месяца,2-х недель
ПОРЯДОК ПРОИЗВОДСТВА СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ ПРИМЕНИТЕЛЬНО К ЕЕ ОБЪЕКТАМ ОПРЕДЕЛЕН,Приказом Федерального Фонда Обязательного Медицинского Страхования РФ,Постановлением Правительства РФ,Законом РФ «О психиатрической помощи и гарантиях прав граждан при ее оказании»,Приказом Фонда Социального страхования РФ,Приказом Министерства здравоохранения РФ,Приказом Министерства здравоохранения РФ
"НОРМАТИВНО-ПРАВОВОЙ АКТ, РЕГЛАМЕНТИРУЮЩИЙ НАЗНАЧЕНИЕ И ПРОИЗВОДСТВО СУДЕБНОЙ ЭКСПЕРТИЗЫ В АДМИНИСТРАТИВНОМ ПРОЦЕССЕ",Уголовно-процессуальный кодекс РФ,Кодекс административного судопроизводства РФ,Гражданский процессуальный кодекс РФ,Трудовой кодекс РФ,Гражданский кодекс РФ,Кодекс административного судопроизводства РФ
СРОК ПРОИЗВОДСТВА АМБУЛАТОРНОЙ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗА НЕ МОЖЕТ ПРЕВЫШАТЬ,десяти дней,трех дней,тридцати дней,пятнадцати дней,двадцати дней,тридцати дней
СРОКИ ПРОИЗВОДСТВА СУДЕБНОЙ ЭКСПЕРТИЗЫ СОСТАВЛЯЮТ,не более пятнадцати дней,не более тридцати дней,не более десяти дней,не более сорока дней,не менее трех дней,не более тридцати дней
ПОРЯДОК ПРОВЕДЕНИЯ ВНУТРЕННЕГО КОНТРОЛЯ РЕГУЛИРУЕТ,Федеральное собрание,все перечисленные,прокуратура РФ,ничего из перечисленного,Минздрав России,Минздрав России
ПЛАНОВЫЕ ПРОВЕРКИ В ОТНОШЕНИИ ПОДВЕДОМСТВЕННЫХ ОРГАНИЗАЦИЙ ПРИ ПРОВЕДЕНИИ ВЕДОМСТВЕННОГО КОНТРОЛЯ ОСУЩЕСТВЛЯЮТСЯ,не чаще 4 -х раза в год,не чаще 3 -х раза в год,нет верного ответа,не чаще 1 -го раза в год,не чаще 2 -х раз в год,не чаще 1-го раза в год
В ОТНОШЕНИИ МИКРОПРЕДПРИЯТИЯ ОБЩИЙ СРОК ВЗАИМОДЕЙСТВИЯ В ХОДЕ ПРОВЕДЕНИЯ ВЫЕЗДНОЙ ПРОВЕРКИ НЕ МОЖЕТ ПРЕВЫШАТЬ,15 часов,50 часов,20 часов,40 часов,24 часа,15 часов
ОБЪЕМ ПЛАНОВЫХ И ВНЕПЛАНОВЫХ ЭКСПЕРТИЗ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ ОТ ЧИСЛА ПРИНЯТЫХ К ОПЛАТЕ СЛУЧАЕВ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ СОСТАВЛЯЕТ ПРИ ОКАЗАНИИ МЕДИЦИНСКОЙ ПОМОЩИ В ДНЕВНОМ СТАЦИОНАРЕ,3%,"0,5%","1,5%",2%,1%,"1,5%"
ОБЪЕМ ЕЖЕМЕСЯЧНЫХ МЕДИКО-ЭКОНОМИЧЕСКИХ ЭКСПЕРТИЗ (ПЛАНОВЫХ И ВНЕПЛАНОВЫХ) ОТ ЧИСЛА ПРИНЯТЫХ К ОПЛАТЕ СЛУЧАЕВ ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ В КАЖДОЙ МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ СОСТАВЛЯЕТ НЕ МЕНЕЕ ПРИ ОКАЗАНИИ МЕДИЦИНСКОЙ ПОМОЩИ В ДНЕВНОМ СТАЦИОНАРЕ,6%,3%,5%,2%,"1,5%",6%
СРОК ПРОВЕДЕНИЯ ДОКУМЕНТАРНОЙ ПРОВЕРКИ НЕ МОЖЕТ ПРЕВЫШАТЬ,15 рабочих дней,20 рабочих дней,10 рабочих дней,3 рабочих дня,25 рабочих дней,10 рабочих дней
ОБЪЕМ ПЛАНОВОЙ ЭКСПЕРТИЗЫ КАЧЕСТВА МЕДИЦИНСКОЙ ПОМОЩИ В СТАЦИОНАРЕ,не менее 15% законченных случаев,не менее 10% законченных случаев,не менее 5% законченных случаев,не менее 20% законченных случаев,все законченные случаи,не менее 5% законченных случаев
СРОК ПРОВЕДЕНИЯ ВЫЕЗДНОЙ ПРОВЕРКИ НЕ МОЖЕТ ПРЕВЫШАТЬ,15 рабочих дней,20 рабочих дней,5 рабочих дней,10 рабочих дней,30 рабочих дней,10 рабочих дней
СРОКИ РАССМОТРЕНИЯ ДЕЛА ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ ОРГАНОМ РОСПОТРЕБНАДЗОРА,60 дней,3 дня,15 дней,30 дней,45 дней,15 дней








