question,option_a,option_b,option_c,option_d,option_e,correct_answer
В КОМПЕТЕНЦИЮ СПЕЦИАЛИСТА НЕ ВХОДИТ,внесение жалоб на действия и решения суда в случае ограничения его прав,разглашение данных предварительного расследования в случае участия в нем,высказывание своего мнения по возникшим у суда или сторон вопросам,внесение жалоб суду на действия участников сторон в случае нарушение прав,"обладание специальными познаниями, необходимыми для участия в следственных действиях",разглашение данных предварительного расследования в случае участия в нем
"К КЛАССУ СУДЕБНЫХ ЭКСПЕРТИЗ, ХАРАКТЕРИЗУЮЩЕМУ ОТРАСЛЬ НАУЧНОГО ЗНАНИЯ, НЕ ОТНОСИТСЯ",биологические,метафизические ,медицинские,криминалистические,химические,метафизические
ГОСУДАРСТВЕННАЯ СУДЕБНО-ЭКСПЕРТНАЯ ДЕЯТЕЛЬНОСТЬ ОСУЩЕСТВЛЯЕТСЯ,в процессе судопроизводства государственными судебно-экспертными учреждениями,только государственными судебными экспертами,состоит в производстве судебной экспертизы,все ответы верные ,состоит в организации судебной экспертизы,все ответы верные
ДОКАЗЫВАНИЕ - ЭТО,"деятельность по поиску информации, которая будет использована следователем или судом в установленииистины по уголовному делу","деятельность следователя по установлению, собиранию обстоятельств, имеющих значение для дела","совокупность проводимых следователем процессуальных действий, направленная на проведение",исследований вещественных доказательств,"деятельность по собиранию, проверке, оценке доказательств следователя или суда, направленная наустановление обстоятельств, имеющих значение для дела","деятельность по собиранию, проверке, оценке доказательств следователя или суда, направленная на установление"
ЭКСПЕРТ ИМЕЕТ ПРАВО,давать заведомо ложное заключение,"вести переговоры с участниками сторон по вопросам, имеющим отношение к экспертизе","проводить такие исследования объектов экспертизы, которые могут привести к",изменению их свойств,"проводить такие исследования объектов экспертизы, которые могут привести к их уничтожению","приносить жалобы на бездействие следователя, ограничивающие его права"
СРОКИ ПРОИЗВОДСТВА СУДЕБНОЙ ЭКСПЕРТИЗЫ СОСТАВЛЯЮТ,не более пятнадцати дней ,не более тридцати дней,не более десяти дней,не более сорока дней,не менее трех днейВаш ответ неправильный.,не более тридцати дней
ПО ПОСЛЕДОВАТЕЛЬНОСТИ ПРОИЗВОДСТВА СУДЕБНЫЕ ЭКСПЕРТИЗЫ ПОДРАЗДЕЛЯЮТСЯ НА,первичные и повторные ,единоличные и коллегиальные,основные и дополнительные,однородные и неоднородные,комиссионные и комплексные,первичные и повторные
ДОСТОВЕРНОСТЬ ДОКАЗАТЕЛЬСТВА ПРОВЕРЯЕТСЯ ПОСРЕДСТВОМ,"присутствия связи между информацией, характеризующей доказательство, и обстоятельствами дела,",подлежащими доказыванию,соответствия доказательства требованиям процессуального закона о порядке и источниках его получения,сопоставления и оценки доказательств в их совокупности следователем или судом на основе принципа,свободной оценки доказательств,сопоставления и оценки доказательств в их совокупности следователем или судом на основе принципа свободной
РОД СУДЕБНЫХ ЭКСПЕРТИЗ ХАРАКТЕРИЗУЕТСЯ,наличием соответствующей специализации экспертов,необходимостью решаемых экспертами вопросов,тесной взаимосвязью определенных задач и объектов исследования,наличием только объектов исследования,"только задачами исследования, имеющими отношение к материалам делаВаш ответ неправильный.",тесной взаимосвязью определенных задач и объектов исследования
"ИНФОРМАЦИЯ О СОСТОЯНИИ ЗДОРОВЬЯ ЛИЦА, ПОДВЕРГНУТОГО СУДЕБНОЙ ЭКСПЕРТИЗЕ, НЕЗАМЕДЛИТЕЛЬНОДОЛЖНА БЫТЬ ПРЕДОСТАВЛЕНА",любому заинтересованному лицу,"лицу и органу, назначившему экспертизу и подэкспертному, с его согласия","представителю лица, подвергнутого экспертизе","руководителю организации, где трудится лицо, подвергнутое экспертизе","близкому родственнику лица, подвергнутого экспертизе","лицу и органу, назначившему экспертизу и подэкспертному, с его согласия"
ЗАКЛЮЧЕНИЕ СПЕЦИАЛИСТА - ЭТО,"содержание исследования и выводы, представленные в письменном виде, по вопросам, поставленным перед",ним сторонами процесса,"суждение, представленное в письменном виде, по вопросам, поставленным перед ним сторонами",процесса,"сведения, сообщенные им на допросе, проведенном после получения его заключения, в целях разъяснения","суждение, представленное в письменном виде, по вопросам, поставленным перед ним сторонами процесса"
СУДЕБНО-МЕДИЦИНСКАЯ ЭКСПЕРТИЗА В ГРАЖДАНСКОМ ПРОЦЕССЕ НЕ ПРОВОДИТСЯ,"платно, по согласованию сторон, в связи с определением суда",платно за счет истца,бесплатно,платно за счет ответчика,платно по согласованию сторон,бесплатно
ЕДИНОЛИЧНАЯ СУДЕБНО-МЕДИЦИНСКАЯ ЭКСПЕРТИЗА ПРОВОДИТСЯ,одним составом судебно-медицинских экспертов,судебно-медицинскими экспертами одного разных подразделений,одним судебно-медицинским экспертом,одним врачом экспертом,судебно-медицинскими экспертами одного экспертного подразделения,одним судебно-медицинским экспертом
ОБЯЗАТЕЛЬНЫЕ СЛУЧАИ НАЗНАЧЕНИЯ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ,"установление психического состояния подозреваемого, обвиняемого на предмет: наличия у лицанаркомании; наличии сомнения в способности лица правильно давать показания; наличия или отсутствия улица расстройства сексуального предпочтения (педофилии)","определение характера и степени вреда, причиненного здоровью",установление причины смерти при суициде,установление неспособности лица к обучению,установление возраста лица при расследовании уголовного дела,"установление психического состояния подозреваемого, обвиняемого на предмет: наличия у лица наркомании;"
СУДЕБНО-ПСИХИАТРИЧЕСКАЯ ЭКСПЕРТИЗА В ГРАЖДАНСКОМ ПРОЦЕССЕ ПРОВОДИТСЯ С ЦЕЛЬЮ,установления способности воспитывать детей,определения наличия возможности у лица правильно понимать окружающих,определения отцовства (материнства),установления дееспособности - недееспособности физического лица,установления неспособности совместного проживания супругов,установления дееспособности - недееспособности физического лица
СОБЛЮДЕНИЕ ПРАВ И СВОБОД ГРАЖДАН ПРИ ПРОВЕДЕНИИ СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ В УГОЛОВНОМ ПРОЦЕССЕ РЕГЛАМЕНТИРОВАНО,Уголовно-процессуальным кодексом РФ,Трудовым кодексом РФ,Семейным кодексом РФ,Уголовным кодексом РФ,Гражданским кодексом РФ,Уголовно-процессуальным кодексом РФ
К ЦЕЛЯМ НАЗНАЧЕНИЯ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ В ГРАЖДАНСКОМ ПРОЦЕССЕ НЕ ОТНОСИТСЯ,определение наличия недееспособности лица,определение возможности лица по своему психическому состоянию давать показания,установление способности лица к обучению ,установление наличия дееспособности лица,определение возможности лица по своему психическому состоянию участвовать в судебном заседании,установление способности лица к обучению2.
СУДЕБНО-ПСИХИАТРИЧЕСКАЯ ЭКСПЕРТИЗА МОЖЕТ ПРОВОДИТЬСЯ,стационарно,все ответы верные ,"очно, заочно (посмертно)",амбулаторно,"в кабинете следователя, в судебном заседании",все ответы верные
ОГРАНИЧЕННАЯ ВМЕНЯЕМОСТЬ ХАРАКТЕРИЗУЕТСЯ,"наличием у вменяемого лица, во время совершения преступления, незначительного расстройства психики, из-",за чего лицо не могло в полной мере общественную опасность своих действий (бездействий),"наличием у вменяемого лица, во время совершения преступления, психического расстройства, в силу",которого лицо не могло в полной мере осознавать фактический характер и общественную опасность своихдействий (бездействий) либо руководить ими,"наличием у лица психического расстройства, в силу которого лицо не может осознавать фактический характер","наличием у вменяемого лица, во время совершения преступления, психического расстройства, в силу которого лицо"
ВИДЫ ПРИНУДИТЕЛЬНЫХ МЕР МЕДИЦИНСКОГО ХАРАКТЕРА,принудительное наблюдение и лечение у врача-психиатра в амбулаторных условиях,"принудительное лечение в медицинской организации, оказывающей психиатрическую помощь в","стационарных условиях, общего типа","принудительное лечение в медицинской организации, оказывающей психиатрическую помощь в","стационарных условиях, специализированного типа с интенсивным наблюдением",все ответы верные
НАЗНАЧЕНИЕ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ В УГОЛОВНОМ ПРОЦЕССЕ ОБУСЛОВЛЕНО НЕОБХОДИМОСТЬЮ УСТАНОВЛЕНИЯ,"степени вреда, причиненного здоровью","характера вреда, причиненного здоровью",причины смерти,возраста лица при расследовании уголовного дела,"психического состояния обвиняемого, когда имеются основания полагать, что он является больным","психического состояния обвиняемого, когда имеются основания полагать, что он является больным наркоманией2."
ПОРЯДОК ПРОИЗВОДСТВА СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ ОПРЕДЕЛЕН,Приказом Министерства здравоохранения РФ ,Федеральным законом «Об основах охраны здоровья граждан в РФ»,Приказом Федерального Фонда Обязательного Медицинского Страхования РФ,Приказом Фонда Социального страхования РФ,Постановлением Правительства РФ,Приказом Министерства здравоохранения РФ
ЮРИДИЧЕСКИЙ КРИТЕРИЙ НЕВМЕНЯЕМОСТИ ХАРАКТЕРИЗУЕТСЯ,наличием затрудненного понимания окружающих и слабоволием,неспособностью лица осознавать фактический характер и общественную опасность своих действий и,руководить ими,неспособностью лица понимать окружающих,неспособностью воздержаться от совершения хищения блестящих предметов,неспособностью лица осознавать фактический характер и общественную опасность своих действий и руководить ими2.
"НОРМАТИВНО-ПРАВОВОЙ АКТ, РЕГЛАМЕНТИРУЮЩИЙ НАЗНАЧЕНИЕ И ПРОИЗВОДСТВО СУДЕБНОЙ ЭКСПЕРТИЗЫ ВАДМИНИСТРАТИВНОМ ПРОЦЕССЕ",Кодекс административного судопроизводства РФ ,Гражданский кодекс РФ,Гражданский процессуальный кодекс РФ,Уголовно-процессуальный кодекс РФ,Трудовой кодекс РФ,Кодекс административного судопроизводства РФ
НЕДЕЕСПОСОБНОСТЬ ЛИЦА ХАРАКТЕРИЗУЕТСЯ,"наличием у лица способности, вследствие психического расстройства, понимать значение своих действий или",руководить ими,неспособностью лица вследствие психического расстройства понимать и осознавать значение своихдействий или руководить ими,"наличием у лица, имеющего хроническое психическое расстройство, возможности понимать значение своихдействий или руководить ими","наличием у лица, страдающего выраженным слабоумием, возможности понимать значение своих действий",неспособностью лица вследствие психического расстройства понимать и осознавать значение своих действий или
СЛЕДОВАТЕЛЬ НАЗНАЧАЕТ ДОПОЛНИТЕЛЬНУЮ ЭКСПЕРТИЗУ ПРИ,наличии сомнений в правильности экспертизы,наличии неверного применения необходимых методов исследования,наличии сомнений в правильности и обоснованности выводов экспертизы,наличии сомнений в необоснованности экспертизы,недостаточной ясности и полноте экспертизы,недостаточной ясности и полноте экспертизы
СРОК ПРОИЗВОДСТВА АМБУЛАТОРНОЙ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗА НЕ МОЖЕТ ПРЕВЫШАТЬ,трех дней,десяти дней,тридцати дней,двадцати дней,пятнадцати дней,тридцати дней2.
"НОРМАТИВНО-ПРАВОВОЙ АКТ, РЕГЛАМЕНТИРУЮЩИЙ НАЗНАЧЕНИЕ И ПРОИЗВОДСТВО СУДЕБНОЙ ЭКСПЕРТИЗЫ В ГРАЖДАНСКОМ ПРОЦЕССЕ",Кодекс об административных правонарушениях РФ,Семейный кодекс РФ,Федеральный закон «Об основах охраны здоровья граждан в РФ»,Гражданский кодекс РФ,Гражданский процессуальный кодекс РФ,Гражданский процессуальный кодекс РФ
ОБСТОЯТЕЛЬСТВА ДЛЯ ПРОВЕДЕНИЯ ПО РЕШЕНИЮ СУДА ПСИХИАТРИЧЕСКОГО ОСВИДЕТЕЛЬСТВОВАНИЯ В НЕДОБРОВОЛЬНОМ ПОРЯДКЕ,все ответы верные,"существенный вред здоровью вследствие ухудшения его психического здоровья, не позволяющий оставлять",его без оказания психиатрической помощи,непосредственная опасность лица окружающих,непосредственная опасность лица для себя,все ответы верные
ОБЯЗАТЕЛЬНЫЕ СЛУЧАИ НАЗНАЧЕНИЯ СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ,установление психического состояния подозреваемого на предмет о наличии или об отсутствии у негорасстройства сексуального предпочтения (педофилии),установление психического состояния потерпевшего при наличии сомнения в его способности правильновоспринимать обстоятельства уголовного дела,установление психического состояния потерпевшего при наличии сомнения в егоспособности правильно давать показания,"установление психического состояния обвиняемого, когда имеются основания полагать, что он являетсябольным наркоманией","установление причин смерти; определение характера и степени вреда, причиненного здоровью;установление возраста лица при расследовании уголовного дела","установление причин смерти; определение характера и степени вреда, причиненного здоровью; установление"
СУДЕБНО-МЕДИЦИНСКУЮ ЭКСПЕРТИЗУ в УГОЛОВНОМ ПРОЦЕССЕ МОЖЕТ НАЗНАЧАТЬ,"орган дознания, дознаватель, помощник следователя, секретарь суда","дознаватель, нотариус, адвокат, следователь, суд","дознаватель, руководитель следственного органа, следователь, суд","орган опознания, орган расследования, суд","руководитель следственного органа, следователь, присяжный заседатель","дознаватель, руководитель следственного органа, следователь, суд2."
СТАЦИОНАРНАЯ СУДЕБНО-ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗА ПРОВОДИТСЯ В СРОК,не более сорока дней,"тридцати дней, по решению суда возможно продление до шестидесяти дней, в исключительных случаях неболее девяносто дней",не более десяти дней,не более тридцати дней,не более двадцати дней,"тридцати дней, по решению суда возможно продление до шестидесяти дней, в исключительных случаях не более"
ПРИ ДОБРОВОЛЬНОМ ПСИХИАТРИЧЕСКОМ ОСВИДЕТЕЛЬСТВОВАНИИ ДОЛЖНЫ БЫТЬ СОБЛЮДЕНЫ СЛЕДУЮЩИЕ,УСЛОВИЯ,"пациент сам обращается за медицинской помощью в медицинскую организацию, дает информированное добровольное согласие на медицинское вмешательство, врач проводящий его обследование обязан представиться пациенту как врач-психиатр","пациент без его желания доставляется в медицинскую организацию для оказания медицинской помощи, не дает информированное добровольное согласие на медицинское вмешательство, обследование врачом психиатром проводится в принудительном порядке","пациент принудительно доставляется в медицинскую организацию, принудительно подписывает","информированное добровольное согласие на медицинское вмешательство, принудительно осматривается","пациент сам обращается за медицинской помощью в медицинскую организацию, дает информированное"
"НОРМАТИВНО-ПРАВОВОЙ АКТ, РЕГЛАМЕНТИРУЮЩИЙ НАЗНАЧЕНИЕ И ПРОИЗВОДСТВО СУДЕБНОЙ ЭКСПЕРТИЗЫ В УГОЛОВНОМ ПРОЦЕССЕ",Федеральный закон «Об основах охраны здоровья граждан в РФ»,Трудовой кодекс РФ,Уголовный кодекс РФ,Уголовно-исполнительный кодекс РФ,Уголовно-процессуальный кодекс РФ,Уголовно-процессуальный кодекс РФ
"ВРЕД, ПРИЧИНЕННЫЙ ЗДОРОВЬЮ ЧЕЛОВЕКА, РАЗДЕЛЯЕТСЯ НА","легкий вред, средней тяжести, тяжелый вред","небольшой, средний, тяжелый вред","физический, имущественный, моральный вред","тяжкий вред, средней тяжести, легкий вред","небольшой тяжести, средней тяжести, тяжелый вред","тяжкий вред, средней тяжести, легкий вред"
ПРОВЕДЕНИЕ КОМПЛЕКСНОЙ СУДЕБНОЙ ЭКСПЕРТИЗЫ ОБУСЛОВЛЕНО,необходимостью постоянного участия врачей в качестве экспертов из разных медицинских организаций для,"решения важных вопросов, назначенных следователем (судом)","необходимостью решения вопроса при одновременном участии экспертов одной области знаний,",представляющих разные экспертные учреждения,необходимостью решения вопроса (вопросов) при одновременном совместном участии экспертов разных,необходимостью решения вопроса (вопросов) при одновременном совместном участии экспертов разных областей
ВРЕМЕННАЯ НЕТРУДОСПОСОБНОСТЬ – ЭТО,"функциональное состояние организма, обусловленное заболеванием или травмой, при котором","нарушение функций сопровождается невозможностью выполнения профессионального труда в обычных условиях, чаще в течение относительно небольшого промежутка времени, носит временный и обратимый характер, а так же возможно возвращение больного к выполнению своей работы","отсутствие способности человека к труду, определяемая уровнем его физического и духовного развития, а также состояния здоровья, профессиональными знаниями, умением и опытом, позволяющих выполнить работу определенного объема и качества","состояние организма, обусловленное заболеванием, травмой и их последствиями или другими причинами,",когда выполнение профессионального труда полностью в течение ограниченного времени или постоянно,"нарушение функций сопровождается невозможностью выполнения профессионального труда в обычных условиях,"
КЛИНИЧЕСКИЙ ПРОГНОЗ – ЭТО,"предсказание предполагаемого течения заболевания, дающее основание судить о вероятности",прогрессирования и исходе болезни в ближайший месяц,"предсказание на ближайшие 10 лет предполагаемого течения заболевания, дающих основание судить о",вероятности прогрессирования и исходе болезни,"предсказание на ближайшее время (или один-два года) предполагаемого течения заболевания, дающих","(длительности ремиссий, частоты обострений, кризисных состояний, эффективности от лечения, возраста, скорости"
ЭКСПЕРТИЗА ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПРОВОДИТСЯ В ЦЕЛЯХ,определения способности гражданина осуществлять трудовую деятельность при наличии у него острых,"заболеваний или обострения хронических заболеваний, а так же последствий травм",определения способности гражданина осуществлять трудовую деятельность при наличии у него острых или хронических заболеваний,"определения способности гражданина осуществлять трудовую деятельность, а также принятия решения о",направлении гражданина на медико-социальную экспертизу,"сроков временного или постоянного перевода гражданина по состоянию здоровья на другую работу, а также принятия решения о направлении гражданина на медико-социальную экспертизу"
ПРЕДСЕДАТЕЛЕМ ВРАЧЕБНОЙ КОМИССИИ НАЗНАЧАЕТСЯ,наиболее опытный врач высшей категории,все ответы правильные,любой заместитель руководителя,наиболее опытный врач высшей категории со стажем работы более 10 лет,"руководитель или заместитель руководителя (структурного подразделения) медицинской организации, в должностные обязанности которого входит решение вопросов, отнесенных к компетенции врачебной комиссии","организации, в должностные обязанности которого входит решение вопросов, отнесенных к компетенции врачебной"
ЛИСТОК НЕТРУДОСПОСОБНОСТИ ВЫДАЕТСЯ,в период отпуска без сохранения содержания,"лицам с хроническими заболеваниями вне обострения (ухудшения), проходящим обследование",обратившимся за медицинской помощью при отсутствии признаков временной нетрудоспособности,находящимся под стражей или административным арестом,"направленным по решению суда на судебно-медицинскую или судебно-психиатрическую экспертизу,","экспертизу, признанным нетрудоспособными"
ВЫБЕРИТЕ ВЕРНОЕ УТВЕРЖДЕНИЕ,нет верных утверждений,"обучающимся в профессиональных образовательных организациях, образовательных организациях высшего","образования, образовательных организациях дополнительного профессионального образования и научных",организациях,"в случаях проведения сложных урологических, гинекологических, проктологических и других исследований,","исследований, манипуляций, процедур, медицинских вмешательств при оказании медицинской помощи в"
ЭКСПЕРТИЗА ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ ПРОВОДИТСЯ,зубным врачом,"лечащим врачом, а так же фельдшером и зубным врачом, при возложении на них обязанностей лечащего врача",фельдшером,лечащим врачом,акушеркой,лечащего врача
